id,bathrooms,bedrooms,fee,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,time,AC,Alarm,Basketball,Cable or Satellite,Clubhouse,Dishwasher,Doorman,Elevator,Fireplace,Garbage Disposal,Gated,Golf,Gym,Hot Tub,Internet Access,Luxury,Parking,Patio/Deck,Playground,Pool,Refrigerator,Storage,TV,Tennis,View,Washer Dryer,Wood Floors,no amenities available,address,neighborhood,county,postcode,place_importance,place_rank
5197828211,2.0,2.0,No,Yes,"Cats,Dogs",1545.0,1066,Tempe,AZ,33.4243,-111.9241,RentDigs.com,1970-01-01 00:00:01.550822996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Sun Devil Sports Performance, 650, South Athletes Place, Tempe, Maricopa County, Arizona, 85281, United States",,Maricopa County,85281,6.423819333176191e-05,30
5197827976,2.0,3.0,No,Yes,None,1480.0,1025,Rancho Cordova,CA,38.6035,-121.2481,RentDigs.com,1970-01-01 00:00:01.550822968,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rancho Cordova, Sacramento County, California, United States",,Sacramento County,,0.45501125241451024,16
5197827934,1.0,1.0,No,Thumbnail,None,1295.0,728,Carrollton,TX,32.9614,-96.8921,RentDigs.com,1970-01-01 00:00:01.550822962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,"1833, Gravley Drive, Carrollton, Dallas County, Texas, 75006, United States",,Dallas County,75006,6.166704814216857e-05,30
5197827492,1.0,1.0,No,No,None,810.0,635,Tempe,AZ,33.4243,-111.9241,RentDigs.com,1970-01-01 00:00:01.550822900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Sun Devil Sports Performance, 650, South Athletes Place, Tempe, Maricopa County, Arizona, 85281, United States",,Maricopa County,85281,6.423819333176191e-05,30
5197827059,1.0,2.0,No,No,"Cats,Dogs",1295.0,900,Rancho Cordova,CA,38.6035,-121.2481,RentDigs.com,1970-01-01 00:00:01.550822843,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Rancho Cordova, Sacramento County, California, United States",,Sacramento County,,0.45501125241451024,16
5197826833,2.0,2.0,No,Yes,None,1239.0,1093,Charlotte,NC,35.1081,-80.806,RentDigs.com,1970-01-01 00:00:01.550822818,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,"7536, Stonecroft Park Drive, Stonecroft, Charlotte, Mecklenburg County, North Carolina, 28226, United States",,Mecklenburg County,28226,7.101625085827447e-05,30
5197826648,1.0,2.0,No,Yes,"Cats,Dogs",1492.0,932,Rancho Cordova,CA,38.6035,-121.2481,RentDigs.com,1970-01-01 00:00:01.550822794,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Rancho Cordova, Sacramento County, California, United States",,Sacramento County,,0.45501125241451024,16
5197826553,1.0,1.0,No,No,"Cats,Dogs",1363.0,764,Tampa,FL,27.8915,-82.5057,RentDigs.com,1970-01-01 00:00:01.550822781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Dale Mabry Highway @ Marlin Avenue, South Dale Mabry Highway, Al Mar, Tampa, Hillsborough County, Florida, 33611, United States",,Hillsborough County,33611,7.196536202024899e-05,30
5197825848,2.0,2.0,No,Thumbnail,None,1689.0,1186,Sterling,VA,38.9977,-77.4332,RentDigs.com,1970-01-01 00:00:01.550822698,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Lindsay Volkswagen of Dulles, 22455, Lindsay Cars Court, Sterling, Loudoun County, Virginia, 20166, United States",,Loudoun County,20166,5.413977264052823e-05,30
5197825488,1.0,2.0,No,Thumbnail,None,850.0,1044,Kansas City,MO,38.9654,-94.4708,RentDigs.com,1970-01-01 00:00:01.550822663,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"9571, East 87th Street, Raytown, Jackson County, Missouri, 64138, United States",,Jackson County,64138,9.99999999995449e-06,30
