id,bathrooms,bedrooms,fee,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,time,AC,Alarm,Basketball,Cable or Satellite,Clubhouse,Dishwasher,Doorman,Elevator,Fireplace,Garbage Disposal,Gated,Golf,Gym,Hot Tub,Internet Access,Luxury,Parking,Patio/Deck,Playground,Pool,Refrigerator,Storage,TV,Tennis,View,Washer Dryer,Wood Floors,no amenities available,address,neighborhood,county,postcode,place_importance,place_rank
5198312502,1.0,1.0,No,Yes,None,1850.0,665,Alexandria,VA,38.8184,-77.0639,RentDigs.com,1970-01-01 00:00:01.550844977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"1401, Hancock Avenue, Jefferson Houston, Alexandria, Virginia, 22301, United States",Jefferson Houston,,22301,6.57518883039142e-05,30
5198312318,2.0,3.0,No,Yes,None,1225.0,1353,Mandan,ND,46.8296,-100.8908,RentDigs.com,1970-01-01 00:00:01.550844964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"100, 3rd Street Northwest, Mandan, Morton County, North Dakota, 58554, United States",,Morton County,58554,9.99999999995449e-06,30
5198311815,1.0,1.0,No,Yes,None,966.0,740,Irving,TX,32.8471,-96.9648,RentDigs.com,1970-01-01 00:00:01.550844941,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Anderson Street, Irving, Dallas County, Texas, 75062, United States",,Dallas County,75062,6.166704814216857e-05,30
5198310173,1.0,1.0,No,Thumbnail,"Cats,Dogs",1535.0,750,Broomfield,CO,39.9347,-105.0766,RentDigs.com,1970-01-01 00:00:01.550844887,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,"1465, Daphne Street, Broomfield Heights, Broomfield, Colorado, 80020, United States",,,80020,6.0928511482368466e-05,30
5198309961,1.0,3.0,No,Thumbnail,"Cats,Dogs",1000.0,957,Norfolk,VA,36.9427,-76.253,RentDigs.com,1970-01-01 00:00:01.550844880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"409, East Lorengo Avenue, Oceanair, Pinewell, Norfolk, Virginia, 23503, United States",Oceanair,,23503,6.96826123445032e-05,30
5198309597,2.0,3.0,No,Thumbnail,"Cats,Dogs",1465.0,1341,Florence,KY,38.9885,-84.6468,RentDigs.com,1970-01-01 00:00:01.550844868,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,"Costco, 800, Heights Boulevard, Florence, Boone County, Kentucky, 41042, United States",,Boone County,41042,5.6703288319173226e-05,30
5198308729,1.0,1.0,No,Thumbnail,None,540.0,600,Lincoln,NE,40.8191,-96.7107,RentDigs.com,1970-01-01 00:00:01.550844837,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"Polygon Lot 18, East Haymarket Bridge, Original Lincoln, Lincoln, Lancaster County, Nebraska, 68588, United States",,Lancaster County,68588,6.714656290527225e-05,30
5198308460,1.0,2.0,No,Yes,None,1295.0,871,Broomfield,CO,39.9347,-105.0766,RentDigs.com,1970-01-01 00:00:01.550844828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1465, Daphne Street, Broomfield Heights, Broomfield, Colorado, 80020, United States",,,80020,6.0928511482368466e-05,30
5198308078,2.0,2.0,No,No,"Cats,Dogs",946.0,989,Tucson,AZ,32.3544,-111.0437,RentDigs.com,1970-01-01 00:00:01.550844817,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"North Camino de la Arpa, Pima County, Arizona, 85741, United States",,Pima County,85741,3.500190737769158e-05,30
5198307569,1.0,1.0,No,Yes,None,996.0,740,Irving,TX,32.8471,-96.9648,RentDigs.com,1970-01-01 00:00:01.550844805,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Anderson Street, Irving, Dallas County, Texas, 75062, United States",,Dallas County,75062,6.166704814216857e-05,30
5198306949,1.0,2.0,No,Yes,None,1575.0,950,Westborough,MA,42.2663,-71.6181,RentDigs.com,1970-01-01 00:00:01.550844789,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"5, Blake Street, West Main Street Historic District, Westborough, Worcester County, Massachusetts, 01581, United States",West Main Street Historic District,Worcester County,01581,5.2751201647928854e-05,30
5198306899,1.0,1.0,No,Yes,None,1152.0,825,Lakeland,FL,27.9682,-81.9337,RentDigs.com,1970-01-01 00:00:01.550844788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"5499, Shetland Place, Polk County, Florida, 33813, United States",,Polk County,33813,9.99999999995449e-06,30
5198304716,1.0,2.0,No,Yes,None,1625.0,945,Westborough,MA,42.2663,-71.6181,RentDigs.com,1970-01-01 00:00:01.550844730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"5, Blake Street, West Main Street Historic District, Westborough, Worcester County, Massachusetts, 01581, United States",West Main Street Historic District,Worcester County,01581,5.2751201647928854e-05,30
5198304521,1.0,1.0,No,Yes,None,864.0,740,Irving,TX,32.8471,-96.9648,RentDigs.com,1970-01-01 00:00:01.550844723,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Anderson Street, Irving, Dallas County, Texas, 75062, United States",,Dallas County,75062,6.166704814216857e-05,30
5198303012,1.0,1.0,No,Yes,None,2130.0,714,Arlington,VA,38.891,-77.0816,RentDigs.com,1970-01-01 00:00:01.550844662,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,"The Odyssey Condominium, 2001, 15th Street North, Courthouse, Arlington, Arlington County, Virginia, 22201, United States",,Arlington County,22201,6.485313191419879e-05,30
5198302493,1.0,2.0,No,Yes,None,659.0,726,Yucaipa,CA,34.0317,-117.0393,RentDigs.com,1970-01-01 00:00:01.550844644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"35081, Avenue B, Yucaipa, San Bernardino County, California, 92399, United States",,San Bernardino County,92399,9.99999999995449e-06,30
5198301902,1.0,1.0,No,Yes,None,1815.0,755,Westborough,MA,42.2663,-71.6181,RentDigs.com,1970-01-01 00:00:01.550844626,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,"5, Blake Street, West Main Street Historic District, Westborough, Worcester County, Massachusetts, 01581, United States",West Main Street Historic District,Worcester County,01581,5.2751201647928854e-05,30
5198301603,1.0,1.0,No,Thumbnail,None,1040.0,755,Tucson,AZ,32.4225,-110.9552,RentDigs.com,1970-01-01 00:00:01.550844617,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"North Silver Village Place, Villages at Silverhawke, Oro Valley, Pima County, Arizona, 85755, United States",,Pima County,85755,0.05337898146028836,26
5198301045,2.0,2.0,No,No,"Cats,Dogs",1095.0,975,Victorville,CA,34.4862,-117.3661,RentDigs.com,1970-01-01 00:00:01.550844598,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,"La Mesa Road, Victorville, San Bernardino County, California, 92392, United States",,San Bernardino County,92392,5.4657053482826236e-05,30
